session_test_id,age,headphones,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_1,dil_oracle,72,153274,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_1,observed,49,153274,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_1,reference,85,153274,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_1,dil_cr1,61,153274,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_1,wpe,70,153274,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_2,wpe,74,133330,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_2,dil_oracle,74,133330,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_2,hidden_ref,94,133330,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_2,reference,100,133330,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_2,observed,50,133330,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_2,dil_cr1,47,133330,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_2,buddy,80,133330,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_1,hidden_ref,100,95974,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_1,dil_oracle,51,95974,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_1,wpe,60,95974,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_1,buddy,81,95974,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_1,reference,95,95974,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_1,dil_cr1,50,95974,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_1,observed,44,95974,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_1,hidden_ref,100,112992,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_1,reference,100,112992,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_1,buddy,38,112992,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_1,wpe,72,112992,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_1,dil_cr1,72,112992,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_1,observed,72,112992,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_508_1,dil_oracle,84,112992,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_2,hidden_ref,96,110527,
